recv_time,clock,node_id,seq,temp_c,hum_pct,status
2026-08-21 10:00:00,set,n1,0,28.3,51.9,ok
2026-08-21 10:00:00,set,n2,0,25.5,57.3,ok
2026-08-21 10:00:00,set,n3,0,26.7,54.4,ok
2026-08-21 10:00:00,set,n4,0,27.1,53.2,ok
2026-08-21 10:00:30,set,n1,1,28.3,51.8,ok
2026-08-21 10:00:30,set,n2,1,25.5,57.3,ok
2026-08-21 10:00:30,set,n3,1,26.7,54.4,ok
2026-08-21 10:00:30,set,n4,1,27.1,53.3,ok
2026-08-21 10:01:00,set,n1,2,28.4,51.8,ok
2026-08-21 10:01:00,set,n2,2,25.5,57.2,ok
2026-08-21 10:01:00,set,n3,2,26.7,54.4,ok
2026-08-21 10:01:00,set,n4,2,27.1,53.3,ok
2026-08-21 10:01:30,set,n1,3,28.4,51.7,ok
2026-08-21 10:01:30,set,n2,3,25.5,57.1,ok
2026-08-21 10:01:30,set,n3,3,26.6,54.4,ok
2026-08-21 10:01:30,set,n4,3,27.1,53.4,ok
2026-08-21 10:02:00,set,n1,4,28.4,51.6,ok
2026-08-21 10:02:00,set,n2,4,25.5,57.1,ok
2026-08-21 10:02:00,set,n3,4,26.6,54.4,ok
2026-08-21 10:02:00,set,n4,4,27.0,53.4,ok
2026-08-21 10:02:30,set,n1,5,28.5,51.5,ok
2026-08-21 10:02:30,set,n2,5,25.5,57.0,ok
2026-08-21 10:02:30,set,n3,5,26.6,54.4,ok
2026-08-21 10:02:30,set,n4,5,27.0,53.5,ok
2026-08-21 10:03:00,set,n1,6,28.5,51.4,ok
2026-08-21 10:03:00,set,n2,6,25.5,57.0,ok
2026-08-21 10:03:00,set,n3,6,26.6,54.4,ok
2026-08-21 10:03:00,set,n4,6,27.0,53.5,ok
2026-08-21 10:03:30,set,n1,7,28.5,51.4,ok
2026-08-21 10:03:30,set,n2,7,25.5,56.9,ok
2026-08-21 10:03:30,set,n3,7,26.6,54.4,ok
2026-08-21 10:03:30,set,n4,7,27.0,53.6,ok
2026-08-21 10:04:00,set,n1,8,28.5,51.3,ok
2026-08-21 10:04:00,set,n2,8,25.5,56.9,ok
2026-08-21 10:04:00,set,n3,8,26.6,54.4,ok
2026-08-21 10:04:00,set,n4,8,27.0,53.6,ok
2026-08-21 10:04:30,set,n1,9,28.5,51.3,ok
2026-08-21 10:04:30,set,n2,9,25.5,56.9,ok
2026-08-21 10:04:30,set,n3,9,26.5,54.5,ok
2026-08-21 10:04:30,set,n4,9,27.0,53.7,ok
2026-08-21 10:05:00,set,n1,10,28.6,51.2,ok
2026-08-21 10:05:00,set,n2,10,25.5,56.8,ok
2026-08-21 10:05:00,set,n3,10,26.5,54.5,ok
2026-08-21 10:05:00,set,n4,10,27.0,53.7,ok
2026-08-21 10:05:30,set,n1,11,28.6,51.1,ok
2026-08-21 10:05:30,set,n2,11,25.5,56.8,ok
2026-08-21 10:05:30,set,n3,11,26.5,54.5,ok
2026-08-21 10:05:30,set,n4,11,27.0,53.7,ok
2026-08-21 10:06:00,set,n1,12,28.6,51.1,ok
2026-08-21 10:06:00,set,n2,12,25.5,56.8,ok
2026-08-21 10:06:00,set,n3,12,26.5,54.6,ok
2026-08-21 10:06:00,set,n4,12,27.0,53.8,ok
2026-08-21 10:06:30,set,n1,13,28.6,51.0,ok
2026-08-21 10:06:30,set,n2,13,25.4,56.8,ok
2026-08-21 10:06:30,set,n3,13,26.4,54.6,ok
2026-08-21 10:06:30,set,n4,13,27.0,53.8,ok
2026-08-21 10:07:00,set,n1,14,28.6,51.0,ok
2026-08-21 10:07:00,set,n2,14,25.4,56.8,ok
2026-08-21 10:07:00,set,n3,14,26.4,54.6,ok
2026-08-21 10:07:00,set,n4,14,27.0,53.8,ok
2026-08-21 10:07:30,set,n1,15,28.6,51.0,ok
2026-08-21 10:07:30,set,n2,15,25.4,56.9,ok
2026-08-21 10:07:30,set,n3,15,26.4,54.7,ok
2026-08-21 10:07:30,set,n4,15,27.0,53.8,ok
2026-08-21 10:08:00,set,n1,16,28.6,50.9,ok
2026-08-21 10:08:00,set,n2,16,25.4,56.9,ok
2026-08-21 10:08:00,set,n3,16,26.4,54.7,ok
2026-08-21 10:08:00,set,n4,16,27.0,53.8,ok
2026-08-21 10:08:30,set,n1,17,28.5,50.9,ok
2026-08-21 10:08:30,set,n2,17,25.3,56.9,ok
2026-08-21 10:08:30,set,n3,17,26.4,54.7,ok
2026-08-21 10:08:30,set,n4,17,27.1,53.8,ok
2026-08-21 10:09:00,set,n1,18,28.5,50.9,ok
2026-08-21 10:09:00,set,n2,18,25.3,56.9,ok
2026-08-21 10:09:00,set,n3,18,26.4,54.7,ok
2026-08-21 10:09:00,set,n4,18,27.1,53.8,ok
2026-08-21 10:09:30,set,n1,19,28.5,50.9,ok
2026-08-21 10:09:30,set,n2,19,25.3,56.9,ok
2026-08-21 10:09:30,set,n3,19,26.4,54.7,ok
2026-08-21 10:09:30,set,n4,19,27.1,53.8,ok
2026-08-21 10:10:00,set,n1,20,28.5,50.9,ok
2026-08-21 10:10:00,set,n2,20,25.3,56.9,ok
2026-08-21 10:10:00,set,n3,20,26.4,54.7,ok
2026-08-21 10:10:00,set,n4,20,27.1,53.8,ok
2026-08-21 10:10:30,set,n1,21,28.5,50.9,ok
2026-08-21 10:10:30,set,n2,21,25.3,57.0,ok
2026-08-21 10:10:30,set,n3,21,26.4,54.8,ok
2026-08-21 10:10:30,set,n4,21,27.2,53.7,ok
2026-08-21 10:11:00,set,n1,22,28.4,50.9,ok
2026-08-21 10:11:00,set,n2,22,25.3,57.0,ok
2026-08-21 10:11:00,set,n3,22,26.5,54.7,ok
2026-08-21 10:11:00,set,n4,22,27.2,53.7,ok
2026-08-21 10:11:30,set,n1,23,28.4,50.9,ok
2026-08-21 10:11:30,set,n2,23,25.3,57.0,ok
2026-08-21 10:11:30,set,n3,23,26.5,54.8,ok
2026-08-21 10:11:30,set,n4,23,27.2,53.7,ok
2026-08-21 10:12:00,set,n1,24,28.4,50.9,ok
2026-08-21 10:12:00,set,n2,24,25.3,57.0,ok
2026-08-21 10:12:00,set,n3,24,26.5,54.7,ok
2026-08-21 10:12:00,set,n4,24,27.3,53.7,ok
2026-08-21 10:12:30,set,n1,25,28.4,50.9,ok
2026-08-21 10:12:30,set,n2,25,25.3,57.0,ok
2026-08-21 10:12:30,set,n3,25,26.5,54.7,ok
2026-08-21 10:12:30,set,n4,25,27.3,53.6,ok
